87,88,89,90,91,92,93,94,95,96,97,98,99,100,101;52,53,54,55,56,57,58,59,60,61,62
98,99,100,101,102,103,104,105,106,107;89,90,91,92,93,94,95,96,97,98,99,100,101,102
82,83,84,85,86,87,88,89;75,76,77,78,79,80,81,82,83,84,85,86
77,78,79,80,81,82,83,84;65,66,67,68,69
87,88,89,90,91,92,93,94,95,96;78,79,80,81,82,83,84,85,86,87
9,10,11;11,12,13
50,51,52,53,54,55,56,57,58,59,60;98,99,100,101,102,103,104,105,106,107,108,109
75,76,77,78,79,80,81;58,59,60,61,62,63,64,65
1,2,3,4;3,4,5,6
65,66,67,68,69,70,71,72,73,74,75,76,77,78,79;90,91,92,93,94,95
51,52,53,54,55,56,57,58;81,82,83,84,85,86,87,88
69,70,71,72,73,74,75,76,77,78;86,87,88,89,90,91,92,93,94
20,25,36,45,89;25,36,77,88,98
71,72,73,74,75,76,77,78,79,80,81;90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
69,70,71,72,73,74,75,76,77,78,79;83,84,85,86,87,88
81,82,83,84,85,86,87;55,56,57,58,59,60,61
81,82,83,84,85,86,87,88,89,90,91,92,93,94;89,90,91,92,93,94
93,94,95,96,97,98,99,100,101,102,103,104,105;80,81,82,83,84
9,10,11;33,34,35
97,98,99,100,101,102,103,104,105;66,67,68,69,70,71,72,73,74,75
